controller,scenario,seed,sub_samples,main_virtual_rmse,aux_virtual_rmse,selected_virtual_rmse,corrupted_rmse,main_virtual_mae,aux_virtual_mae,selected_virtual_mae,corrupted_mae
C1_sensor_MPC,load_disturbance,12027,1,0.20875979903573239,,0.20875979903573239,0.7918148664244171,0.20875979903573239,,0.20875979903573239,0.7918148664244171
C2_aux_recovery_MPC,load_disturbance,12027,1,0.20875979903573239,0.3624946475316335,0.20875979903573239,0.7918148664244171,0.20875979903573239,0.3624946475316335,0.20875979903573239,0.7918148664244171
C3_arbitration_MPC,load_disturbance,12027,1,0.20875979903573239,0.3624946475316335,0.20875979903573239,0.7918148664244171,0.20875979903573239,0.3624946475316335,0.20875979903573239,0.7918148664244171
C1_sensor_MPC,load_disturbance,12028,293,10.683040878023823,,10.683040878023823,0.254590551457697,9.525060553519136,,9.525060553519136,0.20455490660254774
C2_aux_recovery_MPC,load_disturbance,12028,293,10.683040878023823,0.8634281295630816,10.683040878023823,0.254590551457697,9.525060553519136,0.6364310567821727,9.525060553519136,0.20455490660254774
C3_arbitration_MPC,load_disturbance,12028,293,1.9998401435920956,1.6575008426175002,1.9072699081815356,0.254590551457697,1.676808223553155,1.4240867824191978,1.5940994837978024,0.20455490660254783
C1_sensor_MPC,load_disturbance,12029,2,0.19048012447950802,,0.19048012447950802,0.831447037344655,0.18717945348485188,,0.18717945348485188,0.8303574936319436
C2_aux_recovery_MPC,load_disturbance,12029,2,0.19048012447950802,0.7030917956297177,0.19048012447950802,0.831447037344655,0.18717945348485188,0.5769421448357903,0.18717945348485188,0.8303574936319436
C3_arbitration_MPC,load_disturbance,12029,2,0.19048012447950802,0.7030917956297177,0.19048012447950802,0.831447037344655,0.18717945348485188,0.5769421448357903,0.18717945348485188,0.8303574936319436
C1_sensor_MPC,parameter_variation,12026,1,0.29359396707243945,,0.29359396707243945,0.7044236905809456,0.29359396707243945,,0.29359396707243945,0.7044236905809456
C2_aux_recovery_MPC,parameter_variation,12026,1,0.29359396707243945,12.66584465499129,0.29359396707243945,0.7044236905809456,0.29359396707243945,12.66584465499129,0.29359396707243945,0.7044236905809456
C3_arbitration_MPC,parameter_variation,12026,1,0.29359396707243945,12.66584465499129,0.29359396707243945,0.7044236905809456,0.29359396707243945,12.66584465499129,0.29359396707243945,0.7044236905809456
C1_sensor_MPC,parameter_variation,12027,1,0.20875979903573239,,0.20875979903573239,0.7918148664244171,0.20875979903573239,,0.20875979903573239,0.7918148664244171
C2_aux_recovery_MPC,parameter_variation,12027,1,0.20875979903573239,0.3624946475316335,0.20875979903573239,0.7918148664244171,0.20875979903573239,0.3624946475316335,0.20875979903573239,0.7918148664244171
C3_arbitration_MPC,parameter_variation,12027,1,0.20875979903573239,0.3624946475316335,0.20875979903573239,0.7918148664244171,0.20875979903573239,0.3624946475316335,0.20875979903573239,0.7918148664244171
C1_sensor_MPC,parameter_variation,12029,2,0.1864758486280676,,0.1864758486280676,0.831447037344655,0.18203585794303834,,0.18203585794303834,0.8303574936319436
C2_aux_recovery_MPC,parameter_variation,12029,2,0.1864758486280676,8.44871688158684,0.1864758486280676,0.831447037344655,0.18203585794303834,6.061054231704322,0.18203585794303834,0.8303574936319436
